,auc,predict_time,train_time,origin
StackedEnsemble_AllModels_AutoML_20191222_160945,0.7011044479570125,2.157609174002573,4.287,AutoML_120min
StackedEnsemble_BestOfFamily_AutoML_20191222_160945,0.6710800342676496,0.21928740499788546,0.509,AutoML_120min
XGBoost_grid__1_AutoML_20191222_160945_model_5,0.7153496547091875,0.21988890100328717,4.779,AutoML_120min
XGBoost_grid__1_AutoML_20191222_160945_model_1,0.713863114414534,0.22184818899768288,8.805,AutoML_120min
XGBoost_grid__1_AutoML_20191222_160945_model_7,0.7047713277909835,0.22640396000133478,2.96,AutoML_120min
XGBoost_grid__1_AutoML_20191222_160945_model_2,0.7101089566465968,0.21879230800186633,4.295,AutoML_120min
XGBoost_3_AutoML_20191222_160945,0.691125000502753,0.219774001998303,2.562,AutoML_120min
GBM_5_AutoML_20191222_160945,0.7045911410886012,0.21909660700112,0.965,AutoML_120min
XGBoost_2_AutoML_20191222_160945,0.7119498373091048,0.22732875400106423,3.96,AutoML_120min
XGBoost_grid__1_AutoML_20191222_160945_model_6,0.7075272190515263,0.2180248130025575,6.963,AutoML_120min
XGBoost_grid__1_AutoML_20191222_160945_model_8,0.7002083408746295,0.22711345499919844,5.605,AutoML_120min
XGBoost_grid__1_AutoML_20191222_160945_model_3,0.7031351681809589,0.21820391099754488,6.051,AutoML_120min
XGBoost_1_AutoML_20191222_160945,0.712045963697206,0.2189326070001698,3.72,AutoML_120min
GBM_grid__1_AutoML_20191222_160945_model_10,0.6837679130920923,0.21957520299838507,0.939,AutoML_120min
GBM_grid__1_AutoML_20191222_160945_model_7,0.6883156163149406,0.21886870799789904,0.754,AutoML_120min
GBM_2_AutoML_20191222_160945,0.7010561836617317,0.21888540699728765,0.759,AutoML_120min
GBM_grid__1_AutoML_20191222_160945_model_11,0.6878760090254232,0.2177610149992688,0.596,AutoML_120min
GBM_1_AutoML_20191222_160945,0.7001753602728541,0.21872220899967942,0.699,AutoML_120min
GBM_grid__1_AutoML_20191222_160945_model_9,0.694227992486858,0.21830361200045445,0.865,AutoML_120min
GBM_grid__1_AutoML_20191222_160945_model_5,0.6937059336929023,0.21831561100043473,0.666,AutoML_120min
XGBoost_grid__1_AutoML_20191222_160945_model_4,0.6773198032425563,0.21796181299941964,10.173,AutoML_120min
GBM_3_AutoML_20191222_160945,0.7022442897305645,0.21923720500126365,0.797,AutoML_120min
GBM_grid__1_AutoML_20191222_160945_model_6,0.6965555381267822,0.21804391299883719,15.856,AutoML_120min
GBM_4_AutoML_20191222_160945,0.7080436470110323,0.21835661099976278,1.017,AutoML_120min
GBM_grid__1_AutoML_20191222_160945_model_3,0.6539651129585611,0.2330594180020853,3.276,AutoML_120min
GBM_grid__1_AutoML_20191222_160945_model_2,0.6822306952873937,0.21833521100052167,1.293,AutoML_120min
GBM_grid__1_AutoML_20191222_160945_model_4,0.6947733790235329,0.2292508419996011,0.669,AutoML_120min
DRF_1_AutoML_20191222_160945,0.6633404523168873,0.22018369899888057,1.635,AutoML_120min
DeepLearning_grid__3_AutoML_20191222_160945_model_3,0.6789109161769852,0.21841751100146212,63.112,AutoML_120min
XRT_1_AutoML_20191222_160945,0.6332404245649175,0.21758151600079145,1.838,AutoML_120min
DeepLearning_grid__2_AutoML_20191222_160945_model_8,0.6711858135148071,0.21908670700213406,49.496,AutoML_120min
DeepLearning_grid__2_AutoML_20191222_160945_model_3,0.6628397102533474,0.21973320200049784,37.858,AutoML_120min
GBM_grid__1_AutoML_20191222_160945_model_8,0.6709408722162562,0.21861830899797496,0.244,AutoML_120min
DeepLearning_grid__2_AutoML_20191222_160945_model_1,0.6652275862623728,0.21827351200045086,37.206,AutoML_120min
DeepLearning_grid__1_AutoML_20191222_160945_model_6,0.6683329914612417,0.21943110400025034,37.454,AutoML_120min
DeepLearning_grid__1_AutoML_20191222_160945_model_1,0.6838986288918115,0.2191228060000867,32.089,AutoML_120min
DeepLearning_grid__1_AutoML_20191222_160945_model_2,0.6733379988818772,0.21925170499889646,50.833,AutoML_120min
DeepLearning_grid__2_AutoML_20191222_160945_model_9,0.6584520836098475,0.021723662001022603,4.938,AutoML_120min
DeepLearning_grid__3_AutoML_20191222_160945_model_2,0.6641335955693377,0.21904870700018364,41.749,AutoML_120min
DeepLearning_grid__3_AutoML_20191222_160945_model_4,0.6649170859627319,0.22203558800174505,88.002,AutoML_120min
DeepLearning_grid__1_AutoML_20191222_160945_model_8,0.6645362002324731,0.21969740300119156,35.047,AutoML_120min
DeepLearning_grid__2_AutoML_20191222_160945_model_4,0.6606822962542884,0.21965410300254007,42.04,AutoML_120min
GBM_grid__1_AutoML_20191222_160945_model_1,0.6017656688023617,0.2188259079994168,0.202,AutoML_120min
DeepLearning_grid__2_AutoML_20191222_160945_model_7,0.6258105385088746,0.2248897700010275,32.514,AutoML_120min
DeepLearning_grid__1_AutoML_20191222_160945_model_9,0.6638086159811125,0.22114279300149065,25.755,AutoML_120min
DeepLearning_grid__3_AutoML_20191222_160945_model_5,0.6534165088022008,0.4214645190004376,97.24,AutoML_120min
DeepLearning_1_AutoML_20191222_160945,0.6477514871435983,0.22250208399782423,0.502,AutoML_120min
DeepLearning_grid__1_AutoML_20191222_160945_model_3,0.638181079591845,0.21802041300179553,35.494,AutoML_120min
DeepLearning_grid__1_AutoML_20191222_160945_model_5,0.6587601706947243,0.21851701000196044,30.614,AutoML_120min
DeepLearning_grid__1_AutoML_20191222_160945_model_4,0.6468276280914287,0.21917200600000797,32.494,AutoML_120min
GLM_1_AutoML_20191222_160945,0.6133836890814098,0.013518413998099277,0.165,AutoML_120min
DeepLearning_grid__2_AutoML_20191222_160945_model_5,0.6319473436538485,0.21834151100119925,39.215,AutoML_120min
DeepLearning_grid__3_AutoML_20191222_160945_model_1,0.631284111796196,0.2184699110002839,41.801,AutoML_120min
DeepLearning_grid__1_AutoML_20191222_160945_model_7,0.6245407853405248,0.21917190500244033,44.494,AutoML_120min
DeepLearning_grid__2_AutoML_20191222_160945_model_6,0.6402439760126453,0.21847201000127825,35.467,AutoML_120min
DeepLearning_grid__2_AutoML_20191222_160945_model_2,0.6309603388153527,0.23146662799990736,45.112,AutoML_120min